Track name, Artist name, Album, Playlist name, Type, ISRC
Wow.,Post Malone,Wow.,Favorite Songs,Favorite,USUM71822626
Follow Your Fire,Kodaline,Politics of Living,Favorite Songs,Favorite,GBARL1800037
First Time,Jonas Brothers,First Time,Favorite Songs,Favorite,GBUM71303728
Call Me Sir (feat. Cam & Travie McCoy),Train,Call Me Sir (feat. Cam & Travie McCoy),Favorite Songs,Favorite,USSM11804780
The Good Life,BONNIE X CLYDE,The Good Life,Favorite Songs,Favorite,USUS11900065
Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),Favorite Songs,Favorite,SE5R71700101
Lonely Together (feat. Rita Ora),Avicii,AVĪCI (01),Favorite Songs,Favorite,SE5R71700108
Dile la Verdad,The Rudeboyz,Dile la Verdad,Favorite Songs,Favorite,QM4TW1905170
Talk,Khalid,Talk,Favorite Songs,Favorite,USRC11900004
Undrunk,FLETCHER,Undrunk,Favorite Songs,Favorite,USUG11900006
Rich & Famous (with Isac Elliot),SJUR,Rich & Famous (with Isac Elliot),Favorite Songs,Favorite,NOAJR1800004
Here With Me,Marshmello,Here With Me,Favorite Songs,Favorite,USUG11900610
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",Favorite Songs,Favorite,USUM71902499
i'm so tired...,Lauv,i'm so tired...,Favorite Songs,Favorite,GBKPL1933763
My Bad,Khalid,My Bad,Favorite Songs,Favorite,USRC11900407
Who Do You Love,The Chainsmokers,Who Do You Love,Favorite Songs,Favorite,USQX91803661
Candy Paint,Post Malone,beerbongs & bentleys,Favorite Songs,Favorite,USUM71711842
Makhna,Yo Yo Honey Singh,Makhna,Favorite Songs,Favorite,TCAEA1833922
"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,Favorite Songs,Favorite,INS181702408
5 Taara,Diljit Dosanjh,Top Hits-Baisakhi Special,Favorite Songs,Favorite,INM431500671
Patiala Peg,Diljit Dosanjh,Do Gabru - Diljit Dosanjh & Akhil,Favorite Songs,Favorite,INM431401509
Laembadgini,Diljit Dosanjh,Chaar Ikke,Favorite Songs,Favorite,INM431600737
Gulabi Pagg,Diljit Dosanjh,Roar,Favorite Songs,Favorite,TCADZ1845259
No Promises - Acoustic,Cheat Codes,Tell Me You Love Me (Deluxe),Favorite Songs,Favorite,QMCE31701335
SWEAR TO GOD,blackbear,SWEAR TO GOD,Favorite Songs,Favorite,USUG11900286
New Light,John Mayer,New Light,Favorite Songs,Favorite,QM4TW1898425
Preach,John Legend,Preach,Favorite Songs,Favorite,USSM11804423
Old Town Road,Lil Nas X,Old Town Road,Favorite Songs,Favorite,SE6A91836283
I'm Single,Jake Paul,I'm Single,Favorite Songs,Favorite,USLD91718015
Get Low (with Liam Payne),Zedd,Get Low (with Liam Payne),Favorite Songs,Favorite,USUM71705522
I'm an Albatraoz,AronChupa,I'm an Albatraoz,Favorite Songs,Favorite,SEYOK1406001
Dope Shope,Yo Yo Honey Singh,International Villager,Favorite Songs,Favorite,CA3SS1128504
"Veer Vaar - From ""Sardaarji""",Diljit Dosanjh,Best of Punjabi Superstar Diljit Dosanjh,Favorite Songs,Favorite,INM431500282
Con Calma,Daddy Yankee,Con Calma,Favorite Songs,Favorite,US2BU1900125
